alpha,cl,cd
0.0,0.0137,0.0222
2.0,0.1859,0.0235
4.0,0.4023,0.0233
6.0,0.6575,0.0369
8.0,0.846,0.0476
10.0,0.9341,0.0606
12.0,1.0076,0.0775
14.0,1.0556,0.1058
15.0,0.3904,0.2044
16.0,0.4427,0.2239
18.0,0.4933,0.261
20.0,0.5626,0.3012
25.0,0.7456,0.4305
30.0,0.9369,0.5956
35.0,1.1473,0.8935
40.0,1.3445,1.2088
45.0,1.4435,1.4542
50.0,1.5086,1.7201
55.0,1.4719,2.0541
60.0,1.4308,2.3938
65.0,1.3414,2.6912
70.0,1.2014,2.9831
75.0,0.9923,3.1456
80.0,0.7624,3.2912
85.0,0.5063,3.3865
90.0,0.2307,3.4219
95.0,-0.0444,3.3854
100.0,-0.3123,3.2914
105.0,-0.5346,3.1315
110.0,-0.7741,2.9672
115.0,-0.9697,2.7345
120.0,-1.1054,2.4585
125.0,-1.1927,2.1576
130.0,-1.2378,1.8631
135.0,-1.2207,1.5435
140.0,-1.1547,1.2431
145.0,-1.023,0.9459
150.0,-0.8198,0.6371
155.0,-0.6716,0.4444
160.0,-0.5864,0.321
164.0,-0.5935,0.2488
166.0,-0.6637,0.2303
168.0,-0.7533,0.191
170.0,-0.7848,0.133
172.0,-0.7372,0.0868
174.0,-0.6151,0.066
176.0,-0.4475,0.0576
178.0,-0.2885,0.0551
180.0,0.0354,0.0607
