alpha,cl,cd
0.0,0.0148,0.0202
2.0,0.3293,0.0382
4.0,0.5361,0.0366
6.0,0.6526,0.0392
8.0,0.7397,0.0522
10.0,0.8127,0.0631
11.0,0.8338,0.0712
12.0,0.3506,0.1466
14.0,0.4224,0.1918
16.0,0.4508,0.2269
18.0,0.4862,0.2466
20.0,0.5367,0.2852
25.0,0.6781,0.4067
30.0,0.8087,0.5642
35.0,0.9694,0.7562
40.0,1.1445,1.052
45.0,1.2752,1.3568
50.0,1.3128,1.6271
55.0,1.3336,1.9371
60.0,1.3045,2.2338
65.0,1.1935,2.4527
70.0,1.0478,2.6663
75.0,0.8388,2.8144
80.0,0.6375,2.8714
85.0,0.4059,2.9237
90.0,0.1708,2.9638
95.0,-0.0642,2.9453
100.0,-0.2733,2.862
105.0,-0.4848,2.7235
110.0,-0.6803,2.5104
115.0,-0.8547,2.377
120.0,-0.9712,2.1391
125.0,-1.0493,1.8876
130.0,-1.1116,1.6462
135.0,-1.1084,1.3752
140.0,-1.0448,1.1016
145.0,-0.9402,0.8483
150.0,-0.7329,0.56
155.0,-0.6474,0.4157
160.0,-0.5476,0.2866
164.0,-0.5611,0.2227
166.0,-0.5887,0.1876
168.0,-0.6362,0.1408
170.0,-0.6436,0.0779
172.0,-0.5745,0.0449
174.0,-0.4564,0.0375
176.0,-0.2854,0.0473
178.0,-0.0863,0.0669
180.0,-0.0221,0.0673
