alpha,cl,cd
0.0,0.0074,0.0202
2.0,0.1275,0.0201
4.0,0.2614,0.0201
6.0,0.415,0.0286
8.0,0.5647,0.0454
10.0,0.6917,0.0612
12.0,0.7964,0.0804
14.0,0.8655,0.0994
16.0,0.9165,0.1229
17.0,0.9367,0.1308
18.0,0.3206,0.2
20.0,0.3384,0.2222
22.0,0.3697,0.2515
24.0,0.3987,0.2794
26.0,0.4278,0.3132
28.0,0.4646,0.354
30.0,0.4991,0.3956
32.0,0.5415,0.4458
34.0,0.5872,0.5052
36.0,0.6308,0.5642
38.0,0.6726,0.6305
40.0,0.7099,0.6982
42.0,0.7212,0.7478
44.0,0.7399,0.8116
46.0,0.7465,0.87
48.0,0.7502,0.9197
50.0,0.3999,0.5472
52.0,0.3877,0.5652
54.0,0.3834,0.5902
56.0,0.3725,0.61
58.0,0.3609,0.6279
60.0,0.3504,0.6506
62.0,0.3437,0.6774
64.0,0.3289,0.7007
66.0,0.312,0.7101
68.0,0.3052,0.7487
70.0,0.285,0.7539
72.0,0.2642,0.7724
74.0,0.2437,0.7847
76.0,0.225,0.8049
78.0,0.2034,0.8211
80.0,0.1793,0.8329
82.0,0.1549,0.8426
84.0,0.1314,0.8543
86.0,0.1049,0.8587
88.0,0.0798,0.8629
90.0,0.0533,0.867
92.0,0.0278,0.8667
94.0,0.0023,0.8628
96.0,-0.0249,0.858
98.0,-0.0491,0.8487
100.0,-0.0754,0.8407
102.0,-0.1005,0.8307
104.0,-0.124,0.8174
106.0,-0.1473,0.8001
108.0,-0.171,0.7823
110.0,-0.1918,0.7655
112.0,-0.2126,0.7459
114.0,-0.232,0.728
116.0,-0.2473,0.7019
118.0,-0.2736,0.6808
120.0,-0.2827,0.6608
122.0,-0.2936,0.6343
124.0,-0.314,0.6196
126.0,-0.325,0.594
128.0,-0.3453,0.5806
130.0,-0.357,0.5606
132.0,-0.3632,0.534
134.0,-0.4745,0.5833
136.0,-0.7036,0.8625
138.0,-0.7187,0.8205
140.0,-0.7236,0.7782
142.0,-0.6945,0.7037
144.0,-0.6668,0.6368
146.0,-0.6199,0.5606
148.0,-0.5801,0.4876
150.0,-0.548,0.4282
152.0,-0.5054,0.3712
154.0,-0.4591,0.3185
156.0,-0.4304,0.2789
158.0,-0.4119,0.2464
160.0,-0.4097,0.2227
162.0,-0.4242,0.2058
164.0,-0.5103,0.1948
166.0,-0.6406,0.1565
168.0,-0.6645,0.1043
170.0,-0.5965,0.0741
172.0,-0.4998,0.0626
174.0,-0.3984,0.0614
176.0,-0.309,0.0661
178.0,-0.111,0.0744
180.0,-0.0112,0.0715
