alpha,cl,cd
0.0,-0.0082,0.0192
2.0,0.2034,0.0343
4.0,0.3634,0.0392
6.0,0.4735,0.0529
8.0,0.549,0.0633
10.0,0.6283,0.0754
12.0,0.7007,0.0779
14.0,0.7143,0.1071
15.0,0.2726,0.1651
16.0,0.2795,0.1754
18.0,0.2816,0.1858
20.0,0.3038,0.2104
22.0,0.3417,0.235
24.0,0.3665,0.2608
26.0,0.3935,0.2906
28.0,0.4252,0.3232
30.0,0.4585,0.3612
32.0,0.4816,0.4025
34.0,0.5022,0.4453
36.0,0.5228,0.4961
38.0,0.5591,0.5491
40.0,0.5851,0.605
42.0,0.6159,0.6504
44.0,0.6431,0.7234
46.0,0.6476,0.7866
48.0,0.6327,0.8374
50.0,0.3723,0.5214
52.0,0.3619,0.5406
54.0,0.3544,0.5606
56.0,0.3431,0.5806
58.0,0.3267,0.6006
60.0,0.3237,0.6206
62.0,0.3099,0.6406
64.0,0.2985,0.6606
66.0,0.2782,0.6806
68.0,0.2665,0.695
70.0,0.2569,0.7171
72.0,0.2391,0.7306
74.0,0.2209,0.7416
76.0,0.1974,0.7546
78.0,0.1817,0.7706
80.0,0.1597,0.785
82.0,0.1392,0.8
84.0,0.1091,0.8061
86.0,0.0892,0.8191
88.0,0.0697,0.8251
90.0,0.0551,0.8261
92.0,0.0263,0.8229
94.0,0.0012,0.8164
96.0,-0.025,0.816
98.0,-0.0477,0.8043
100.0,-0.0688,0.7952
102.0,-0.0894,0.7884
104.0,-0.1154,0.7761
106.0,-0.1397,0.7684
108.0,-0.1596,0.754
110.0,-0.1863,0.7324
112.0,-0.2116,0.7254
114.0,-0.2223,0.7022
116.0,-0.2432,0.6857
118.0,-0.2596,0.6592
120.0,-0.2739,0.6351
122.0,-0.2803,0.6186
124.0,-0.3084,0.5965
126.0,-0.3165,0.5731
128.0,-0.3314,0.5535
130.0,-0.3531,0.5464
132.0,-0.5996,0.8372
134.0,-0.6151,0.8132
136.0,-0.6363,0.7709
138.0,-0.6399,0.7314
140.0,-0.642,0.6723
142.0,-0.6263,0.6226
144.0,-0.6131,0.5674
146.0,-0.5838,0.5136
148.0,-0.5318,0.4496
150.0,-0.4969,0.3894
152.0,-0.4464,0.3234
154.0,-0.4155,0.2798
156.0,-0.3879,0.2451
158.0,-0.3702,0.2139
160.0,-0.3839,0.1958
162.0,-0.4091,0.184
164.0,-0.4683,0.1624
166.0,-0.5516,0.1278
168.0,-0.5721,0.0858
170.0,-0.4982,0.0613
172.0,-0.3897,0.0519
174.0,-0.265,0.0533
176.0,-0.1621,0.0565
178.0,-0.0829,0.0592
180.0,-0.0269,0.0544
