alpha,cl,cd
0.0,0.0227,0.0248
2.0,0.1619,0.0229
4.0,0.3585,0.0267
6.0,0.5624,0.0411
8.0,0.7675,0.055
10.0,0.8825,0.0697
12.0,0.9443,0.0876
14.0,1.003,0.111
14.5,1.0144,0.116
15.0,1.0245,0.1273
15.5,0.805,0.1961
16.0,0.4259,0.2232
18.0,0.4951,0.2752
20.0,0.5704,0.3182
22.0,0.6093,0.3572
24.0,0.6445,0.3996
26.0,0.678,0.4358
28.0,0.7278,0.4858
30.0,0.7718,0.5539
32.0,0.8208,0.6175
34.0,0.8575,0.6879
36.0,0.8676,0.7332
37.0,0.8785,0.7597
38.0,0.8758,0.7838
39.0,0.8331,0.7535
40.0,0.5473,0.5432
42.0,0.5625,0.5877
44.0,0.5585,0.6212
46.0,0.5563,0.6533
48.0,0.5532,0.6903
50.0,0.5495,0.7315
52.0,0.5464,0.7599
54.0,0.5361,0.7918
56.0,0.5275,0.8278
58.0,0.515,0.8576
60.0,0.4996,0.8871
62.0,0.4799,0.9126
64.0,0.4602,0.9411
66.0,0.4374,0.9639
68.0,0.414,0.9878
70.0,0.3873,1.0039
72.0,0.3617,1.0257
74.0,0.322,1.0405
76.0,0.3035,1.0608
78.0,0.2729,1.0705
80.0,0.2405,1.0731
82.0,0.2053,1.08
84.0,0.172,1.0857
86.0,0.1362,1.0897
88.0,0.104,1.0925
90.0,0.0709,1.0978
92.0,0.0362,1.0908
94.0,0.0,1.0857
96.0,-0.0324,1.0797
98.0,-0.0635,1.0665
100.0,-0.0988,1.0577
102.0,-0.1296,1.042
104.0,-0.1595,1.0282
106.0,-0.1889,1.0147
108.0,-0.215,0.9952
110.0,-0.246,0.9699
112.0,-0.272,0.9451
114.0,-0.2979,0.9244
116.0,-0.3214,0.8919
118.0,-0.35,0.8803
120.0,-0.3647,0.8406
122.0,-0.3819,0.8067
124.0,-0.3948,0.7606
126.0,-0.4084,0.7393
128.0,-0.4254,0.7119
130.0,-0.4364,0.6807
132.0,-0.4393,0.6397
134.0,-0.4447,0.6048
136.0,-0.4506,0.5738
138.0,-0.4554,0.5406
139.0,-0.4577,0.5263
140.0,-0.6035,0.6211
141.0,-0.8598,0.8874
142.0,-0.8551,0.8361
144.0,-0.8528,0.8056
146.0,-0.835,0.7331
148.0,-0.788,0.6475
150.0,-0.7257,0.5623
152.0,-0.6568,0.4723
154.0,-0.5944,0.3969
156.0,-0.563,0.3563
158.0,-0.536,0.3158
160.0,-0.5355,0.2984
162.0,-0.532,0.2755
164.0,-0.6027,0.2582
166.0,-0.6611,0.19
168.0,-0.7289,0.1358
170.0,-0.7367,0.0835
172.0,-0.6253,0.0661
174.0,-0.5001,0.0594
176.0,-0.3772,0.0692
178.0,-0.1913,0.08
180.0,0.0221,0.0714
