alpha,cl,cd
0.0,0.0067,0.0273
2.0,0.1814,0.0238
4.0,0.4001,0.0266
6.0,0.5989,0.0393
8.0,0.7489,0.0557
10.0,0.8477,0.076
12.0,0.9335,0.0938
13.0,0.9603,0.1003
13.5,0.9736,0.107
14.0,0.9808,0.1177
14.5,0.3995,0.1976
15.0,0.4146,0.2076
16.0,0.4117,0.2194
18.0,0.4852,0.277
20.0,0.53,0.3245
22.0,0.5884,0.3642
24.0,0.6338,0.3956
26.0,0.6699,0.4346
28.0,0.7227,0.4919
30.0,0.7781,0.5561
32.0,0.8145,0.6153
34.0,0.8549,0.677
36.0,0.8735,0.7319
38.0,0.8853,0.7785
39.0,0.7276,0.6598
40.0,0.5675,0.5269
42.0,0.5665,0.5667
44.0,0.5607,0.6116
46.0,0.5595,0.6439
48.0,0.5571,0.6758
50.0,0.5541,0.7232
52.0,0.5475,0.7608
54.0,0.5438,0.7994
56.0,0.5227,0.8214
58.0,0.5116,0.8546
60.0,0.4982,0.8807
62.0,0.4772,0.9057
64.0,0.457,0.931
66.0,0.4362,0.9582
68.0,0.4131,0.9851
70.0,0.3862,1.001
72.0,0.3632,1.0273
74.0,0.3357,1.0486
76.0,0.3067,1.0657
78.0,0.2765,1.073
80.0,0.2387,1.0802
82.0,0.2088,1.0872
84.0,0.1741,1.0937
86.0,0.1394,1.0921
88.0,0.1058,1.0975
90.0,0.0699,1.0951
92.0,0.0369,1.0915
94.0,-0.0023,1.0885
96.0,-0.0364,1.079
98.0,-0.0669,1.0706
100.0,-0.1011,1.0641
102.0,-0.1311,1.0561
104.0,-0.1604,1.0298
106.0,-0.1917,1.0127
108.0,-0.2217,0.9943
110.0,-0.2496,0.9796
112.0,-0.2707,0.9326
114.0,-0.298,0.9151
116.0,-0.3199,0.8991
118.0,-0.3462,0.8682
120.0,-0.3673,0.8423
122.0,-0.3836,0.8082
124.0,-0.3958,0.7706
126.0,-0.4071,0.7312
128.0,-0.4221,0.7044
130.0,-0.4326,0.6738
132.0,-0.4427,0.6447
134.0,-0.4488,0.6127
136.0,-0.4488,0.5698
138.0,-0.4477,0.5207
140.0,-0.4393,0.4926
141.0,-0.8354,0.8734
142.0,-0.8673,0.8646
144.0,-0.8677,0.8123
146.0,-0.822,0.7299
148.0,-0.7766,0.6413
150.0,-0.7028,0.5445
152.0,-0.6377,0.4608
154.0,-0.595,0.4011
156.0,-0.5513,0.3278
158.0,-0.5388,0.2818
160.0,-0.5244,0.263
162.0,-0.5235,0.2497
164.0,-0.5852,0.2306
166.0,-0.6656,0.1982
168.0,-0.7452,0.1279
170.0,-0.6982,0.0785
172.0,-0.5911,0.0604
174.0,-0.4621,0.0573
176.0,-0.3446,0.073
178.0,-0.1022,0.078
180.0,0.0126,0.0794
